Id,Time[ns],Parallel: Items
716,2127948650.00,10000019
717,2127950250.00,00000000
718,2127951750.00,1000001A
719,2127953350.00,00000000
720,2127954750.00,1000001B
721,2127956350.00,00000000
722,2127957850.00,1000001C
723,2127959450.00,00000000
724,2127960950.00,1000001D
725,2127962550.00,00000000
726,2127964050.00,1000001E
727,2127965650.00,00000000
728,2127967100.00,1000001F
729,2127968700.00,00000000
730,2127970200.00,10000020
731,2127971800.00,00000000
732,2127973300.00,10000021
733,2127974900.00,00000000
734,2127976400.00,10000022
735,2127977850.00,00000000
736,2127979350.00,10000023
737,2127980950.00,00000000
738,2127982450.00,10000024
739,2127984050.00,00000000
740,2127985550.00,10000025
741,2127987150.00,00000000
742,2127988650.00,10000026
743,2127990250.00,00000000
744,2127991750.00,10000027
745,2127993350.00,00000000
746,2127994850.00,10000028
747,2127996450.00,00000000
748,2127997950.00,10000029
749,2127999550.00,00000000
750,2128000950.00,1000002A
751,2128002550.00,00000000
752,2128004050.00,1000002B
753,2128005650.00,00000000
754,2128007150.00,1000002C
755,2128008750.00,00000000
756,2128010250.00,1000002D
757,2128011600.00,00000000
758,2128013100.00,1000002E
759,2128014700.00,00000000
760,2128016200.00,1000002F
761,2128017800.00,00000000
762,2128019300.00,10000030
763,2128020900.00,00000000
764,2128022400.00,10000031
765,2128023900.00,00000000
766,2128025400.00,10000032
767,2128027000.00,00000000
768,2128028500.00,10000033
769,2128030100.00,00000000
770,2128031600.00,10000034
771,2128033200.00,00000000
772,2128034650.00,10000035
773,2128036250.00,00000000
774,2128037750.00,10000036
775,2128039350.00,00000000
776,2128040850.00,10000037
777,2128042450.00,00000000
778,2128043950.00,10000038
779,2128045550.00,00000000
780,2128047050.00,10000039
781,2128048650.00,00000000
782,2128050150.00,1000003A
783,2128051750.00,00000000
784,2128053250.00,1000003B
785,2128054850.00,00000000
786,2128056350.00,1000003C
787,2128057800.00,00000000
788,2128059300.00,1000003D
789,2128060900.00,00000000
790,2128062400.00,1000003E
791,2128064000.00,00000000
792,2128065500.00,1000003F
793,2128067100.00,00000000
794,2128068600.00,10000000
795,2128070200.00,00000000
796,2128071700.00,10000001
797,2128073300.00,00000000
798,2128074800.00,10000002
799,2128076400.00,00000000
800,2128077900.00,10000003
801,2128079500.00,00000000
802,2128080950.00,10000004
803,2128082550.00,00000000
804,2128084050.00,10000005
805,2128085650.00,00000000
806,2128087150.00,10000006
807,2128088750.00,00000000
808,2128090250.00,10000007
809,2128091700.00,00000000
810,2128093200.00,10000008
811,2128094800.00,00000000
812,2128096300.00,10000009
813,2128097900.00,00000000
814,2128099400.00,1000000A
815,2128101000.00,00000000
816,2128102500.00,1000000B
817,2128104100.00,00000000
818,2128105600.00,1000000C
819,2128107200.00,00000000
820,2128108700.00,1000000D
821,2128110300.00,00000000
822,2128111800.00,1000000E
823,2128113400.00,00000000
824,2128114800.00,1000000F
825,2128116400.00,00000000
826,2128117900.00,10000010
827,2128119500.00,00000000
828,2128121000.00,10000011
829,2128122600.00,00000000
830,2128124100.00,10000012
831,2128125450.00,00000000
832,2128126950.00,10000013
833,2128128550.00,00000000
834,2128130050.00,10000014
835,2128131650.00,00000000
836,2128133150.00,10000015
837,2128134750.00,00000000
838,2128136250.00,10000016
839,2128137750.00,00000000
840,2128139250.00,10000017
841,2128140850.00,00000000
842,2128142350.00,10000018
843,2128143950.00,00000000
844,2128145450.00,10000019
845,2128147050.00,00000000
846,2128148500.00,1000001A
847,2128150100.00,00000000
848,2128151600.00,1000001B
849,2128153200.00,00000000
850,2128154700.00,1000001C
851,2128156300.00,00000000
852,2128157800.00,1000001D
853,2128159400.00,00000000
854,2128160900.00,1000001E
855,2128162500.00,00000000
856,2128164000.00,1000001F
857,2128165600.00,00000000
858,2128167100.00,10000020
859,2128168700.00,00000000
860,2128170200.00,10000021
861,2128171650.00,00000000
862,2128173150.00,10000022
863,2128174750.00,00000000
864,2128176250.00,10000023
865,2128177850.00,00000000
866,2128179350.00,10000024
867,2128180950.00,00000000
868,2128182450.00,10000025
869,2128184050.00,00000000
870,2128185550.00,10000026
871,2128187150.00,00000000
872,2128188650.00,10000027
873,2128190250.00,00000000
874,2128191750.00,10000028
875,2128193350.00,00000000
876,2128194800.00,10000029
877,2128196400.00,00000000
878,2128197900.00,1000002A
879,2128199500.00,00000000
880,2128201000.00,1000002B
881,2128202600.00,00000000
882,2128204100.00,1000002C
883,2128205550.00,00000000
884,2128207050.00,1000002D
885,2128208650.00,00000000
886,2128210150.00,1000002E
887,2128211750.00,00000000
888,2128213250.00,1000002F
889,2128214850.00,00000000
890,2128216350.00,10000030
891,2128217950.00,00000000
892,2128219450.00,10000031
893,2128221050.00,00000000
894,2128222550.00,10000032
895,2128224150.00,00000000
896,2128225650.00,10000033
897,2128227250.00,00000000
898,2128228650.00,10000034
899,2128230250.00,00000000
900,2128231750.00,10000035
901,2128233350.00,00000000
902,2128234850.00,10000036
903,2128236450.00,00000000
904,2128237950.00,10000037
905,2128239300.00,00000000
906,2128240800.00,10000038
907,2128242400.00,00000000
908,2128243900.00,10000039
909,2128245500.00,00000000
910,2128247000.00,1000003A
911,2128248600.00,00000000
912,2128250100.00,1000003B
913,2128251600.00,00000000
914,2128253100.00,1000003C
915,2128254700.00,00000000
916,2128256200.00,1000003D
917,2128257800.00,00000000
918,2128259300.00,1000003E
919,2128260900.00,00000000
920,2128262350.00,1000003F
921,2128263950.00,00000000
922,2128265450.00,10000000
923,2128267050.00,00000000
924,2128268550.00,10000001
925,2128270150.00,00000000
926,2128271650.00,10000002
927,2128273250.00,00000000
928,2128274750.00,10000003
929,2128276350.00,00000000
930,2128277850.00,10000004
931,2128279450.00,00000000
932,2128280950.00,10000005
933,2128282550.00,00000000
934,2128284050.00,10000006
935,2128285500.00,00000000
936,2128287000.00,10000007
937,2128288600.00,00000000
938,2128290100.00,10000008
939,2128291700.00,00000000
940,2128293200.00,10000009
941,2128294800.00,00000000
942,2128296300.00,1000000A
943,2128297900.00,00000000
944,2128299400.00,1000000B
945,2128301000.00,00000000
946,2128302500.00,1000000C
947,2128304100.00,00000000
948,2128305600.00,1000000D
949,2128307200.00,00000000
950,2128308650.00,1000000E
951,2128310250.00,00000000
952,2128311750.00,1000000F
953,2128313350.00,00000000
954,2128314850.00,10000010
955,2128316450.00,00000000
956,2128317950.00,10000011
957,2128319400.00,00000000
958,2128320900.00,10000012
959,2128322500.00,00000000
960,2128324000.00,10000013
961,2128325600.00,00000000
962,2128327100.00,10000014
963,2128328700.00,00000000
964,2128330200.00,10000015
965,2128331800.00,00000000
966,2128333300.00,10000016
967,2128334900.00,00000000
968,2128336400.00,10000017
969,2128338000.00,00000000
970,2128339500.00,10000018
971,2128341100.00,00000000
972,2128342500.00,10000019
973,2128344100.00,00000000
974,2128345600.00,1000001A
975,2128347200.00,00000000
976,2128348700.00,1000001B
977,2128350300.00,00000000
978,2128351800.00,1000001C
979,2128353150.00,00000000
980,2128354650.00,1000001D
981,2128356250.00,00000000
982,2128357750.00,1000001E
983,2128359350.00,00000000
984,2128360850.00,1000001F
985,2128362450.00,00000000
986,2128363950.00,10000020
987,2128365450.00,00000000
988,2128366950.00,10000021
989,2128368550.00,00000000
990,2128370050.00,10000022
991,2128371650.00,00000000
992,2128373150.00,10000023
993,2128374750.00,00000000
994,2128376200.00,10000024
995,2128377800.00,00000000
996,2128379300.00,10000025
997,2128380900.00,00000000
998,2128382400.00,10000026
999,2128384000.00,00000000
1000,2128385500.00,10000027
1001,2128387100.00,00000000
1002,2128388600.00,10000028
1003,2128390200.00,00000000
1004,2128391700.00,10000029
1005,2128393300.00,00000000
1006,2128394800.00,1000002A
1007,2128396400.00,00000000
1008,2128397900.00,1000002B
1009,2128399350.00,00000000
1010,2128400850.00,1000002C
1011,2128402450.00,00000000
1012,2128403950.00,1000002D
1013,2128405550.00,00000000
1014,2128407050.00,1000002E
1015,2128408650.00,00000000
1016,2128410150.00,1000002F
1017,2128411750.00,00000000
1018,2128413250.00,10000030
1019,2128414850.00,00000000
1020,2128416350.00,10000031
1021,2128417950.00,00000000
