Id,Time[ns],Parallel: Items
429,915783250.00,03
430,915784800.00,03
431,915785300.00,03
432,915786900.00,03
433,915787400.00,03
434,915789000.00,03
435,915789500.00,03
436,915791100.00,03
437,915791600.00,03
438,915793200.00,03
439,915793700.00,03
440,915795300.00,03
441,915795800.00,03
442,915797400.00,03
443,915797900.00,03
444,915799500.00,03
445,915800000.00,03
446,915801600.00,03
447,915802100.00,03
448,915803700.00,03
449,915804200.00,03
450,915805800.00,03
451,915806300.00,03
452,915807850.00,03
453,915808350.00,03
454,915809950.00,03
455,915810450.00,03
456,915812050.00,03
457,915812550.00,03
458,915814150.00,03
459,915814650.00,03
460,915816200.00,03
461,915816700.00,03
462,915818300.00,03
463,915818800.00,03
464,915820400.00,03
465,915820900.00,03
466,915822500.00,03
467,915823000.00,03
468,915824600.00,03
469,915825100.00,03
470,915826700.00,03
471,915827200.00,03
472,915828800.00,03
473,915829300.00,03
474,915830900.00,03
475,915831400.00,03
476,915833000.00,03
477,915833500.00,03
478,915835100.00,03
479,915835600.00,03
480,915837200.00,03
481,915837700.00,03
482,915839250.00,03
483,915839750.00,03
484,915841350.00,03
485,915841850.00,03
486,915843450.00,03
487,915843950.00,03
488,915845550.00,03
489,915846050.00,03
490,915847600.00,03
491,915848100.00,03
492,915849700.00,03
493,915850200.00,03
494,915851800.00,03
495,915852300.00,03
496,915853900.00,03
497,915854400.00,03
498,915856000.00,03
499,915856500.00,03
500,915858100.00,03
501,915858600.00,03
502,915860200.00,03
503,915860700.00,03
504,915862300.00,03
505,915862800.00,03
506,915864400.00,03
507,915864900.00,03
508,915866500.00,03
509,915867000.00,03
510,915868600.00,03
511,915869100.00,03
512,915870650.00,03
513,915871150.00,03
514,915872750.00,03
515,915873250.00,03
516,915874850.00,03
517,915875350.00,03
518,915876950.00,03
519,915877450.00,03
520,915879000.00,03
521,915879500.00,03
522,915881100.00,03
523,915881600.00,03
524,915883200.00,03
525,915883700.00,03
526,915885300.00,03
527,915885800.00,03
528,915887400.00,03
529,915887900.00,03
530,915889500.00,03
531,915890000.00,03
532,915891600.00,03
533,915892100.00,03
534,915893700.00,03
535,915894200.00,03
536,915895800.00,03
537,915896300.00,03
538,915897900.00,03
539,915898400.00,03
540,915900000.00,03
541,915900500.00,03
542,915902050.00,03
543,915902550.00,03
544,915904150.00,03
545,915904650.00,03
546,915906250.00,03
547,915906750.00,03
548,915908350.00,03
549,915908850.00,03
550,915910400.00,03
551,915910900.00,03
552,915912500.00,03
553,915913000.00,03
554,915914600.00,03
555,915915100.00,03
556,915916700.00,03
557,915917200.00,03
558,915918800.00,03
559,915919300.00,03
560,915920900.00,03
561,915921400.00,03
562,915923000.00,03
563,915923500.00,03
564,915925100.00,03
565,915925600.00,03
566,915927200.00,03
567,915927700.00,03
568,915929300.00,03
569,915929800.00,03
570,915931400.00,03
571,915931900.00,03
572,915933450.00,03
573,915933950.00,03
574,915935550.00,03
575,915936050.00,03
576,915937650.00,03
577,915938150.00,03
578,915939750.00,03
579,915940250.00,03
580,915941800.00,03
581,915942300.00,03
582,915943900.00,03
583,915944400.00,03
584,915946000.00,03
585,915946500.00,03
586,915948100.00,03
587,915948600.00,03
588,915950200.00,03
589,915950700.00,03
590,915952300.00,03
591,915952800.00,03
592,915954400.00,03
593,915954900.00,03
594,915956500.00,03
595,915957000.00,03
596,915958600.00,03
597,915959100.00,03
598,915960700.00,03
599,915961200.00,03
600,915962800.00,03
601,915963300.00,03
602,915964850.00,03
603,915965350.00,03
604,915966950.00,03
605,915967450.00,03
606,915969050.00,03
607,915969550.00,03
608,915971150.00,03
609,915971650.00,03
610,915973200.00,03
611,915973700.00,03
612,915975700.00,03
613,924675000.00,F8
614,924675950.00,44
615,924676900.00,B8
616,924677850.00,B2
617,924679150.00,B2
618,924680100.00,B8
619,924681300.00,00
620,924684900.00,36
621,924685850.00,01
622,924687300.00,14
623,924688400.00,14
624,924689850.00,34
625,924691000.00,34
626,924749350.00,03
627,924756300.00,BF
628,924756950.00,81
629,924757250.00,01
630,924765200.00,54
631,924771400.00,60
632,924781900.00,00
633,924782150.00,00
634,924806700.00,00
635,924814150.00,00
636,924816250.00,01
637,924817600.00,FF
638,924819500.00,02
639,924821100.00,00
640,924822600.00,03
641,924823950.00,FF
642,924825600.00,04
643,924827500.00,00
644,924828900.00,05
645,924830150.00,FF
646,924832100.00,06
647,924833700.00,00
648,924835200.00,07
649,924836800.00,FF
650,924838500.00,08
651,924840000.00,FF
652,924841500.00,09
653,924843100.00,00
654,924844800.00,0A
655,924846400.00,FF
656,924847700.00,0B
657,924849300.00,00
658,924850900.00,0C
659,924852500.00,FF
660,924854000.00,0D
661,924855600.00,00
662,924857600.00,0E
663,924859150.00,FF
664,924860700.00,0F
665,924862200.00,00
666,924864000.00,10
667,924865250.00,00
668,924867100.00,11
669,924868700.00,00
670,924870200.00,12
671,924871650.00,00
672,924873150.00,13
673,924874750.00,00
674,924876250.00,14
675,924877850.00,00
676,924879350.00,15
677,924880950.00,00
678,924882450.00,16
679,924884050.00,00
680,924885550.00,17
681,924887150.00,00
682,924888350.00,18
683,924889950.00,00
684,924891450.00,19
685,924893050.00,00
686,924894250.00,1A
687,924895850.00,00
688,924897350.00,1B
689,924898950.00,00
690,924900300.00,1C
691,924901900.00,00
692,924903400.00,1D
693,924904800.00,00
694,924906200.00,1E
695,924907800.00,00
696,924909300.00,1F
697,924910900.00,00
698,924912400.00,20
699,924914000.00,00
700,924915500.00,21
701,924917000.00,00
702,924918500.00,22
703,924920100.00,00
704,924921600.00,23
705,924923200.00,00
706,924924650.00,24
707,924926250.00,00
708,924927500.00,25
709,924929100.00,00
710,924930550.00,26
711,924932150.00,00
712,924933650.00,27
713,924935250.00,00
714,924936750.00,28
715,924938350.00,00
716,924939850.00,29
717,924941450.00,00
718,924942950.00,2A
719,924944550.00,00
720,924946050.00,2B
721,924947400.00,00
722,924948900.00,2C
723,924950400.00,00
724,924951900.00,2D
725,924953250.00,00
726,924954750.00,2E
727,924956350.00,00
728,924957850.00,2F
