Id,Time[ns],1:I²C: Address/Data
326,4027945000.00,ACK
327,4028057500.00,Data read: 00
328,4028700000.00,ACK
329,4028812500.00,Data read: 00
330,4029455000.00,ACK
331,4029567500.00,Data read: 00
332,4030210000.00,ACK
333,4030322500.00,Data read: 00
334,4030965000.00,ACK
335,4031077500.00,Data read: 00
336,4031720000.00,ACK
337,4031832500.00,Data read: 00
338,4032475000.00,ACK
339,4032587500.00,Data read: 00
340,4033230000.00,ACK
341,4033345000.00,Data read: 00
342,4033987500.00,ACK
343,4034100000.00,Data read: 00
344,4034740000.00,ACK
345,4034855000.00,Data read: 00
346,4035497500.00,ACK
347,4035610000.00,Data read: 00
348,4036252500.00,ACK
349,4036365000.00,Data read: 00
350,4037007500.00,ACK
351,4037120000.00,Data read: 00
352,4037762500.00,ACK
353,4037875000.00,Data read: 00
354,4038517500.00,ACK
355,4038630000.00,Data read: 00
356,4039272500.00,ACK
357,4039385000.00,Data read: 00
358,4040027500.00,ACK
359,4040140000.00,Data read: 00
360,4040782500.00,ACK
361,4040897500.00,Data read: 00
362,4041537500.00,ACK
363,4041652500.00,Data read: 00
364,4042292500.00,ACK
365,4042405000.00,Data read: 00
366,4043047500.00,ACK
367,4043162500.00,Data read: 00
368,4043805000.00,ACK
369,4043917500.00,Data read: 00
370,4044560000.00,ACK
371,4044672500.00,Data read: 00
372,4045315000.00,ACK
373,4045427500.00,Data read: 00
374,4046070000.00,ACK
375,4046182500.00,Data read: 00
376,4046825000.00,ACK
377,4046937500.00,Data read: 00
378,4047580000.00,ACK
379,4047692500.00,Data read: 00
380,4048335000.00,ACK
381,4048447500.00,Data read: 0A
382,4049090000.00,ACK
383,4049202500.00,Data read: 01
384,4049845000.00,ACK
385,4049957500.00,Data read: 00
386,4050600000.00,ACK
387,4050715000.00,Data read: 00
388,4051355000.00,ACK
389,4051470000.00,Data read: 00
390,4052110000.00,ACK
391,4052225000.00,Data read: 00
392,4052867500.00,ACK
393,4052980000.00,Data read: 00
394,4053622500.00,NACK
395,4053732500.00,Stop
396,4053812500.00,Start
397,4053927500.00,Address write: A0
398,4054717500.00,Write
399,4054830000.00,ACK
400,4054947500.00,Data write: 10
401,4055850000.00,ACK
402,4055962500.00,Start repeat
