Id,Time[ns],1:I²C: Address/Data
317,16259992500.00,ACK
318,16260025000.00,Data read: 00
319,16260220000.00,ACK
320,16260255000.00,Data read: 00
321,16260447500.00,ACK
322,16260482500.00,Data read: 00
323,16260677500.00,ACK
324,16260710000.00,Data read: 00
325,16260905000.00,ACK
326,16260937500.00,Data read: 00
327,16261132500.00,ACK
328,16261167500.00,Data read: 00
329,16261362500.00,ACK
330,16261395000.00,Data read: 00
331,16261590000.00,ACK
332,16261622500.00,Data read: 00
333,16261817500.00,ACK
334,16261852500.00,Data read: 00
335,16262047500.00,ACK
336,16262080000.00,Data read: 00
337,16262282500.00,ACK
338,16262315000.00,Data read: 00
339,16262510000.00,ACK
340,16262545000.00,Data read: 00
341,16262740000.00,ACK
342,16262772500.00,Data read: 00
343,16262967500.00,ACK
344,16263002500.00,Data read: 00
345,16263195000.00,ACK
346,16263230000.00,Data read: 00
347,16263425000.00,ACK
348,16263457500.00,Data read: 00
349,16263652500.00,ACK
350,16263687500.00,Data read: 00
351,16263882500.00,ACK
352,16263915000.00,Data read: 00
353,16264110000.00,ACK
354,16264145000.00,Data read: 00
355,16264340000.00,ACK
356,16264372500.00,Data read: 00
357,16264567500.00,ACK
358,16264600000.00,Data read: 00
359,16264795000.00,ACK
360,16264830000.00,Data read: 00
361,16265025000.00,ACK
362,16265057500.00,Data read: 00
363,16265252500.00,ACK
364,16265287500.00,Data read: 00
365,16265480000.00,ACK
366,16265515000.00,Data read: 00
367,16265710000.00,ACK
368,16265742500.00,Data read: 00
369,16265937500.00,ACK
370,16265970000.00,Data read: 00
371,16266165000.00,ACK
372,16266200000.00,Data read: 00
373,16266395000.00,ACK
374,16266427500.00,Data read: 00
375,16266622500.00,ACK
376,16266657500.00,Data read: 00
377,16266850000.00,ACK
378,16266885000.00,Data read: 00
379,16267080000.00,ACK
380,16267112500.00,Data read: 00
381,16267307500.00,ACK
382,16267342500.00,Data read: 00
383,16267537500.00,ACK
384,16267570000.00,Data read: 00
385,16267765000.00,ACK
386,16267797500.00,Data read: 00
387,16267992500.00,ACK
388,16268027500.00,Data read: 00
389,16268220000.00,ACK
390,16268255000.00,Data read: 00
391,16268450000.00,ACK
392,16268482500.00,Data read: 00
393,16268677500.00,ACK
394,16268712500.00,Data read: 00
395,16268905000.00,ACK
396,16268940000.00,Data read: 00
397,16269135000.00,ACK
398,16269167500.00,Data read: 00
399,16269362500.00,ACK
400,16269397500.00,Data read: 00
401,16269592500.00,ACK
402,16269625000.00,Data read: 00
403,16269820000.00,ACK
404,16269855000.00,Data read: 00
405,16270047500.00,ACK
406,16270082500.00,Data read: 00
407,16270277500.00,ACK
408,16270310000.00,Data read: 00
409,16270505000.00,ACK
410,16270537500.00,Data read: 00
411,16270732500.00,ACK
412,16270767500.00,Data read: 00
413,16270962500.00,ACK
414,16270995000.00,Data read: 00
415,16271190000.00,ACK
416,16271222500.00,Data read: 00
417,16271417500.00,ACK
418,16271452500.00,Data read: 00
419,16271647500.00,ACK
420,16271680000.00,Data read: 00
421,16271875000.00,ACK
422,16271910000.00,Data read: 00
423,16272102500.00,ACK
424,16272137500.00,Data read: 00
425,16272332500.00,ACK
426,16272365000.00,Data read: 00
427,16272560000.00,ACK
428,16272595000.00,Data read: 00
429,16272790000.00,ACK
430,16272822500.00,Data read: 00
431,16273017500.00,ACK
432,16273050000.00,Data read: 00
433,16273245000.00,ACK
434,16273280000.00,Data read: 00
435,16273472500.00,ACK
436,16273507500.00,Data read: 00
437,16273702500.00,ACK
438,16273735000.00,Data read: 00
439,16273930000.00,ACK
440,16273965000.00,Data read: 60
441,16274157500.00,ACK
442,16274192500.00,Data read: 13
443,16274387500.00,ACK
444,16274420000.00,Data read: 00
445,16274615000.00,ACK
446,16274650000.00,Data read: 00
447,16274845000.00,ACK
448,16274877500.00,Data read: A4
449,16275072500.00,ACK
450,16275107500.00,Data read: FD
451,16275300000.00,ACK
452,16275335000.00,Data read: 10
453,16275527500.00,ACK
454,16275562500.00,Data read: 41
455,16275757500.00,ACK
456,16275790000.00,Data read: FF
457,16275985000.00,ACK
458,16276020000.00,Data read: 01
459,16276212500.00,ACK
460,16276247500.00,Data read: 60
461,16276442500.00,ACK
462,16276475000.00,Data read: 00
463,16276670000.00,ACK
464,16276705000.00,Data read: 11
465,16276900000.00,ACK
466,16276932500.00,Data read: 00
467,16277127500.00,ACK
468,16277160000.00,Data read: 00
469,16277355000.00,ACK
470,16277390000.00,Data read: 00
471,16277585000.00,ACK
472,16277617500.00,Data read: 00
473,16277812500.00,ACK
474,16277847500.00,Data read: 00
475,16278040000.00,ACK
476,16278075000.00,Data read: 00
477,16278270000.00,ACK
478,16278302500.00,Data read: 00
479,16278497500.00,ACK
480,16278530000.00,Data read: F0
481,16278725000.00,ACK
482,16278760000.00,Data read: 00
483,16278955000.00,ACK
484,16278987500.00,Data read: 00
485,16279182500.00,ACK
486,16279217500.00,Data read: 00
487,16279410000.00,ACK
488,16279445000.00,Data read: 00
489,16279640000.00,ACK
490,16279672500.00,Data read: 00
491,16279867500.00,ACK
492,16279902500.00,Data read: 00
493,16280097500.00,ACK
494,16280130000.00,Data read: 00
495,16280325000.00,ACK
496,16280357500.00,Data read: 00
497,16280552500.00,ACK
498,16280587500.00,Data read: 00
499,16280780000.00,ACK
500,16280815000.00,Data read: 00
501,16281010000.00,ACK
502,16281042500.00,Data read: 00
503,16281237500.00,ACK
504,16281272500.00,Data read: 00
505,16281465000.00,ACK
506,16281500000.00,Data read: 00
507,16281695000.00,ACK
508,16281727500.00,Data read: 00
509,16281922500.00,ACK
510,16281957500.00,Data read: 00
511,16282152500.00,ACK
512,16282185000.00,Data read: 00
513,16282380000.00,ACK
514,16282415000.00,Data read: 00
515,16282607500.00,ACK
516,16282642500.00,Data read: 00
517,16282837500.00,ACK
518,16282870000.00,Data read: 00
519,16283065000.00,ACK
520,16283097500.00,Data read: 00
521,16283292500.00,ACK
522,16283327500.00,Data read: 00
523,16283522500.00,ACK
524,16283555000.00,Data read: 00
525,16283750000.00,ACK
526,16283782500.00,Data read: 00
527,16283977500.00,ACK
528,16284012500.00,Data read: 00
529,16284207500.00,ACK
530,16284240000.00,Data read: 00
531,16284435000.00,ACK
532,16284470000.00,Data read: 00
533,16284662500.00,ACK
534,16284697500.00,Data read: 00
535,16284892500.00,ACK
536,16284925000.00,Data read: 00
537,16285120000.00,ACK
538,16285155000.00,Data read: 00
539,16285350000.00,ACK
540,16285382500.00,Data read: 00
541,16285577500.00,ACK
542,16285610000.00,Data read: 00
543,16285805000.00,ACK
544,16285840000.00,Data read: 00
545,16286032500.00,ACK
546,16286067500.00,Data read: 00
547,16286262500.00,ACK
548,16286295000.00,Data read: 00
549,16286490000.00,ACK
550,16286525000.00,Data read: 00
551,16286720000.00,ACK
552,16286752500.00,Data read: 00
553,16286947500.00,ACK
554,16286980000.00,Data read: 0A
555,16287175000.00,ACK
556,16287210000.00,Data read: 01
557,16287405000.00,ACK
558,16287437500.00,Data read: 00
559,16287632500.00,ACK
560,16287667500.00,Data read: 00
561,16287860000.00,ACK
562,16287895000.00,Data read: 00
563,16288090000.00,ACK
564,16288122500.00,Data read: 00
565,16288317500.00,ACK
566,16288350000.00,Data read: 00
567,16288545000.00,NACK
568,16288580000.00,Stop
569,16644362500.00,Start
570,16644407500.00,Address write: A0
571,16644642500.00,Write
572,16644675000.00,ACK
573,16644710000.00,Data write: 13
574,16644980000.00,ACK
575,16645017500.00,Data write: 51
576,16645285000.00,ACK
577,16645322500.00,Stop
578,16645345000.00,Start
579,16645387500.00,Address write: A0
580,16645625000.00,Write
581,16645657500.00,ACK
582,16645692500.00,Data write: 3F
583,16645962500.00,ACK
584,16645997500.00,Data write: F0
585,16646265000.00,ACK
586,16646300000.00,Stop
587,16795460000.00,Start
588,16795510000.00,Address write: A0
589,16795745000.00,Write
590,16795782500.00,ACK
591,16795820000.00,Data write: 05
592,16796090000.00,ACK
593,16796122500.00,Start repeat
594,16796167500.00,Address read: A1
595,16796405000.00,Read
596,16796437500.00,ACK
597,16796477500.00,Data read: 01
598,16796672500.00,NACK
599,16796707500.00,Stop
600,16796737500.00,Start
601,16796780000.00,Address write: A0
602,16797017500.00,Write
603,16797050000.00,ACK
604,16797085000.00,Data write: 01
605,16797357500.00,ACK
606,16797390000.00,Start repeat
607,16797435000.00,Address read: A1
608,16797672500.00,Read
609,16797705000.00,ACK
610,16797740000.00,Data read: 83
611,16797935000.00,ACK
612,16797970000.00,Data read: 32
613,16798165000.00,ACK
614,16798200000.00,Data read: 58
615,16798395000.00,ACK
616,16798430000.00,Data read: 01
617,16798625000.00,ACK
618,16798657500.00,Data read: 01
619,16798855000.00,ACK
620,16798890000.00,Data read: 01
621,16799085000.00,NACK
622,16799117500.00,Stop
