Id,Time[ns],1:I²C: Address/Data
748,4330822500.00,ACK
749,4330855000.00,Data read: 00
750,4331050000.00,ACK
751,4331085000.00,Data read: 00
752,4331280000.00,ACK
753,4331312500.00,Data read: 00
754,4331507500.00,ACK
755,4331540000.00,Data read: 00
756,4331735000.00,ACK
757,4331770000.00,Data read: 00
758,4331965000.00,ACK
759,4331997500.00,Data read: 00
760,4332192500.00,ACK
761,4332227500.00,Data read: 00
762,4332422500.00,ACK
763,4332455000.00,Data read: 00
764,4332650000.00,ACK
765,4332682500.00,Data read: 00
766,4332877500.00,ACK
767,4332912500.00,Data read: 00
768,4333105000.00,ACK
769,4333140000.00,Data read: 00
770,4333335000.00,ACK
771,4333367500.00,Data read: 00
772,4333562500.00,ACK
773,4333597500.00,Data read: 00
774,4333790000.00,ACK
775,4333825000.00,Data read: 00
776,4334020000.00,ACK
777,4334052500.00,Data read: 00
778,4334247500.00,ACK
779,4334282500.00,Data read: 00
780,4334475000.00,ACK
781,4334510000.00,Data read: 00
782,4334705000.00,ACK
783,4334737500.00,Data read: 00
784,4334932500.00,ACK
785,4334967500.00,Data read: 00
786,4335162500.00,ACK
787,4335195000.00,Data read: 00
788,4335390000.00,ACK
789,4335422500.00,Data read: 00
790,4335617500.00,ACK
791,4335652500.00,Data read: 00
792,4335845000.00,ACK
793,4335880000.00,Data read: 00
794,4336075000.00,ACK
795,4336107500.00,Data read: 00
796,4336302500.00,ACK
797,4336337500.00,Data read: 00
798,4336532500.00,ACK
799,4336565000.00,Data read: 00
800,4336760000.00,ACK
801,4336792500.00,Data read: 00
802,4336987500.00,ACK
803,4337022500.00,Data read: 00
804,4337217500.00,ACK
805,4337250000.00,Data read: 00
806,4337445000.00,ACK
807,4337480000.00,Data read: 00
808,4337672500.00,ACK
809,4337707500.00,Data read: 00
810,4337902500.00,ACK
811,4337935000.00,Data read: 00
812,4338130000.00,ACK
813,4338162500.00,Data read: 00
814,4338357500.00,ACK
815,4338392500.00,Data read: 00
816,4338592500.00,ACK
817,4338627500.00,Data read: 00
818,4338822500.00,ACK
819,4338855000.00,Data read: 00
820,4339050000.00,ACK
821,4339082500.00,Data read: 00
822,4339277500.00,ACK
823,4339312500.00,Data read: 00
824,4339505000.00,ACK
825,4339540000.00,Data read: 00
826,4339735000.00,ACK
827,4339767500.00,Data read: 00
828,4339962500.00,ACK
829,4339997500.00,Data read: 00
830,4340190000.00,ACK
831,4340225000.00,Data read: 00
832,4340420000.00,ACK
833,4340452500.00,Data read: 00
834,4340647500.00,ACK
835,4340682500.00,Data read: 00
836,4340875000.00,ACK
837,4340910000.00,Data read: 00
838,4341105000.00,ACK
839,4341137500.00,Data read: 00
840,4341332500.00,ACK
841,4341367500.00,Data read: 00
842,4341562500.00,ACK
843,4341595000.00,Data read: 00
844,4341790000.00,ACK
845,4341822500.00,Data read: 00
846,4342017500.00,ACK
847,4342052500.00,Data read: 00
848,4342245000.00,ACK
849,4342280000.00,Data read: 00
850,4342475000.00,ACK
851,4342507500.00,Data read: 00
852,4342702500.00,ACK
853,4342737500.00,Data read: 00
854,4342932500.00,ACK
855,4342965000.00,Data read: 00
856,4343160000.00,ACK
857,4343192500.00,Data read: 00
858,4343387500.00,ACK
859,4343422500.00,Data read: 00
860,4343617500.00,ACK
861,4343650000.00,Data read: 00
862,4343845000.00,ACK
863,4343880000.00,Data read: 00
864,4344072500.00,ACK
865,4344107500.00,Data read: 00
866,4344302500.00,ACK
867,4344335000.00,Data read: 00
868,4344530000.00,ACK
869,4344565000.00,Data read: 00
870,4344757500.00,ACK
871,4344792500.00,Data read: 00
872,4344987500.00,ACK
873,4345020000.00,Data read: 00
874,4345215000.00,ACK
875,4345250000.00,Data read: 00
876,4345442500.00,ACK
877,4345477500.00,Data read: 00
878,4345672500.00,ACK
879,4345705000.00,Data read: 00
880,4345900000.00,ACK
881,4345935000.00,Data read: 00
882,4346130000.00,ACK
883,4346162500.00,Data read: 00
884,4346357500.00,ACK
885,4346390000.00,Data read: 00
886,4346585000.00,ACK
887,4346620000.00,Data read: 00
888,4346812500.00,ACK
889,4346847500.00,Data read: 00
890,4347042500.00,ACK
891,4347075000.00,Data read: 00
892,4347270000.00,ACK
893,4347305000.00,Data read: 00
894,4347497500.00,ACK
895,4347532500.00,Data read: 00
896,4347727500.00,ACK
897,4347760000.00,Data read: 00
898,4347955000.00,ACK
899,4347990000.00,Data read: 00
900,4348185000.00,ACK
901,4348217500.00,Data read: 00
902,4348412500.00,ACK
903,4348445000.00,Data read: 00
904,4348640000.00,ACK
905,4348675000.00,Data read: 00
906,4348870000.00,ACK
907,4348902500.00,Data read: 00
908,4349097500.00,ACK
909,4349132500.00,Data read: 00
910,4349325000.00,ACK
911,4349360000.00,Data read: 00
912,4349555000.00,ACK
913,4349587500.00,Data read: 00
914,4349782500.00,ACK
915,4349815000.00,Data read: 00
916,4350010000.00,ACK
917,4350045000.00,Data read: 00
918,4350240000.00,ACK
919,4350272500.00,Data read: 00
920,4350467500.00,ACK
921,4350502500.00,Data read: 60
922,4350695000.00,ACK
923,4350730000.00,Data read: 13
924,4350925000.00,ACK
925,4350957500.00,Data read: 00
926,4351152500.00,ACK
927,4351187500.00,Data read: 00
928,4351382500.00,ACK
929,4351415000.00,Data read: A4
930,4351610000.00,ACK
931,4351642500.00,Data read: FD
932,4351837500.00,ACK
933,4351872500.00,Data read: 10
934,4352065000.00,ACK
935,4352100000.00,Data read: 41
936,4352295000.00,ACK
937,4352327500.00,Data read: FF
938,4352522500.00,ACK
939,4352557500.00,Data read: 01
940,4352750000.00,ACK
941,4352785000.00,Data read: 60
942,4352980000.00,ACK
943,4353012500.00,Data read: 00
944,4353207500.00,ACK
945,4353242500.00,Data read: 11
946,4353437500.00,ACK
947,4353470000.00,Data read: 00
948,4353665000.00,ACK
949,4353700000.00,Data read: 00
950,4353892500.00,ACK
951,4353927500.00,Data read: 00
952,4354122500.00,ACK
953,4354155000.00,Data read: 00
954,4354350000.00,ACK
955,4354382500.00,Data read: 00
956,4354577500.00,ACK
957,4354612500.00,Data read: 00
958,4354807500.00,ACK
959,4354840000.00,Data read: 00
960,4355035000.00,ACK
961,4355067500.00,Data read: F0
962,4355262500.00,ACK
963,4355297500.00,Data read: 00
964,4355492500.00,ACK
965,4355525000.00,Data read: 00
966,4355720000.00,ACK
967,4355755000.00,Data read: 00
