Id,Time[ns],Parallel: Items
338,703279250.00,C0001003
339,703280850.00,C0001003
340,703281350.00,C0001003
341,703282950.00,C0001003
342,703283450.00,C0001003
343,703285000.00,C0001003
344,703285500.00,C0001003
345,703287100.00,C0001003
346,703287600.00,C0001003
347,703289200.00,C0001003
348,703289700.00,C0001003
349,703291300.00,C0001003
350,703291800.00,C0001003
351,703293350.00,C0001003
352,703293850.00,C0001003
353,703295450.00,C0001003
354,703295950.00,C0001003
355,703297550.00,C0001003
356,703298050.00,C0001003
357,703299650.00,C0001003
358,703300150.00,C0001003
359,703301750.00,C0001003
360,703302250.00,C0001003
361,703303850.00,C0001003
362,703304350.00,C0001003
363,703305950.00,C0001003
364,703306450.00,C0001003
365,703308050.00,C0001003
366,703308550.00,C0001003
367,703310150.00,C0001003
368,703310650.00,C0001003
369,703312250.00,C0001003
370,703312750.00,C0001003
371,703314350.00,C0001003
372,703314850.00,C0001003
373,703316400.00,C0001003
374,703316900.00,C0001003
375,703318500.00,C0001003
376,703319000.00,C0001003
377,703320600.00,C0001003
378,703321100.00,C0001003
379,703322700.00,C0001003
380,703323200.00,C0001003
381,703324750.00,C0001003
382,703325250.00,C0001003
383,703326850.00,C0001003
384,703327350.00,C0001003
385,703328950.00,C0001003
386,703329450.00,C0001003
387,703331050.00,C0001003
388,703331550.00,C0001003
389,703333150.00,C0001003
390,703333650.00,C0001003
391,703335250.00,C0001003
392,703335750.00,C0001003
393,703337350.00,C0001003
394,703337850.00,C0001003
395,703339450.00,C0001003
396,703339950.00,C0001003
397,703341550.00,C0001003
398,703342050.00,C0001003
399,703343650.00,C0001003
400,703344150.00,C0001003
401,703345750.00,C0001003
402,703346250.00,C0001003
403,703347800.00,C0001003
404,703348300.00,C0001003
405,703349900.00,C0001003
406,703350400.00,C0001003
407,703352000.00,C0001003
408,703352500.00,C0001003
409,703354100.00,C0001003
410,703354600.00,C0001003
411,703356150.00,C0001003
412,703356650.00,C0001003
413,703358250.00,C0001003
414,703358750.00,C0001003
415,703360350.00,C0001003
416,703360850.00,C0001003
417,703362450.00,C0001003
418,703362950.00,C0001003
419,703364550.00,C0001003
420,703365050.00,C0001003
421,703366650.00,C0001003
422,703367150.00,C0001003
423,703368750.00,C0001003
424,703369250.00,C0001003
425,703370850.00,C0001003
426,703371350.00,C0001003
427,703372950.00,C0001003
428,703373450.00,C0001003
429,703375050.00,C0001003
430,703375550.00,C0001003
431,703377150.00,C0001003
432,703377650.00,C0001003
433,703379200.00,C0001003
434,703379700.00,C0001003
435,703381300.00,C0001003
436,703381800.00,C0001003
437,703383400.00,C0001003
438,703383900.00,C0001003
439,703385500.00,C0001003
440,703386000.00,C0001003
441,703387550.00,C0001003
442,703388050.00,C0001003
443,703389650.00,C0001003
444,703390150.00,C0001003
445,703391750.00,C0001003
446,703392250.00,C0001003
447,703393850.00,C0001003
448,703394350.00,C0001003
449,703395950.00,C0001003
450,703396450.00,C0001003
451,703398050.00,C0001003
452,703398550.00,C0001003
453,703400150.00,C0001003
454,703400650.00,C0001003
455,703402250.00,C0001003
456,703402750.00,C0001003
457,703404350.00,C0001003
458,703404850.00,C0001003
459,703406450.00,C0001003
460,703406950.00,C0001003
461,703408550.00,C0001003
462,703409050.00,C0001003
463,703410600.00,C0001003
464,703411100.00,C0001003
465,703412700.00,C0001003
466,703413200.00,C0001003
467,703414800.00,C0001003
468,703415300.00,C0001003
469,703416900.00,C0001003
470,703417400.00,C0001003
471,703418950.00,C0001003
472,703419450.00,C0001003
473,703421050.00,C0001003
474,703421550.00,C0001003
475,703423150.00,C0001003
476,703423650.00,C0001003
477,703425250.00,C0001003
478,703425750.00,C0001003
479,703427350.00,C0001003
480,703427850.00,C0001003
481,703429450.00,C0001003
482,703429950.00,C0001003
